,from,to,min,max,mean,stDev,sampleCount,noDataCount,name,month
76,2022-03-19T00:00:00Z,2022-03-20T00:00:00Z,3.908743383362889e-05,3.908743383362889e-05,3.908743383362889e-05,0.0,1,0,Amsterdam,3
77,2022-03-20T00:00:00Z,2022-03-21T00:00:00Z,,,,,1,1,Amsterdam,3
78,2022-03-21T00:00:00Z,2022-03-22T00:00:00Z,8.866212738212198e-05,8.866212738212198e-05,8.866212738212198e-05,0.0,1,0,Amsterdam,3
79,2022-03-22T00:00:00Z,2022-03-23T00:00:00Z,0.00022457039449363947,0.00022457039449363947,0.00022457039449363947,0.0,1,0,Amsterdam,3
80,2022-03-23T00:00:00Z,2022-03-24T00:00:00Z,0.00019840103050228208,0.00019840103050228208,0.00019840103050228208,0.0,1,0,Amsterdam,3
81,2022-03-24T00:00:00Z,2022-03-25T00:00:00Z,0.00015671529399696738,0.00015671529399696738,0.00015671529399696738,0.0,1,0,Amsterdam,3
82,2022-03-25T00:00:00Z,2022-03-26T00:00:00Z,6.035455589881167e-05,6.035455589881167e-05,6.035455589881167e-05,0.0,1,0,Amsterdam,3
83,2022-03-26T00:00:00Z,2022-03-27T00:00:00Z,8.33419690025039e-05,8.33419690025039e-05,8.33419690025039e-05,0.0,1,0,Amsterdam,3
84,2022-03-27T00:00:00Z,2022-03-28T00:00:00Z,5.1943177822977304e-05,5.1943177822977304e-05,5.1943177822977304e-05,0.0,1,0,Amsterdam,3
85,2022-03-28T00:00:00Z,2022-03-29T00:00:00Z,0.0001097325439332053,0.0001097325439332053,0.0001097325439332053,0.0,1,0,Amsterdam,3
86,2022-03-29T00:00:00Z,2022-03-30T00:00:00Z,7.138116052374244e-05,7.138116052374244e-05,7.138116052374244e-05,0.0,1,0,Amsterdam,3
87,2022-03-30T00:00:00Z,2022-03-31T00:00:00Z,,,,,1,1,Amsterdam,3
88,2022-03-31T00:00:00Z,2022-04-01T00:00:00Z,,,,,1,1,Amsterdam,3
89,2022-04-01T00:00:00Z,2022-04-02T00:00:00Z,,,,,1,1,Amsterdam,4
90,2022-04-02T00:00:00Z,2022-04-03T00:00:00Z,,,,,1,1,Amsterdam,4
91,2022-04-03T00:00:00Z,2022-04-04T00:00:00Z,,,,,1,1,Amsterdam,4
92,2022-04-04T00:00:00Z,2022-04-05T00:00:00Z,,,,,1,1,Amsterdam,4
93,2022-04-05T00:00:00Z,2022-04-06T00:00:00Z,,,,,1,1,Amsterdam,4
94,2022-04-06T00:00:00Z,2022-04-07T00:00:00Z,,,,,1,1,Amsterdam,4
95,2022-04-07T00:00:00Z,2022-04-08T00:00:00Z,,,,,1,1,Amsterdam,4
96,2022-04-08T00:00:00Z,2022-04-09T00:00:00Z,,,,,1,1,Amsterdam,4
97,2022-04-09T00:00:00Z,2022-04-10T00:00:00Z,,,,,1,1,Amsterdam,4
98,2022-04-10T00:00:00Z,2022-04-11T00:00:00Z,0.0001011162021313794,0.0001011162021313794,0.0001011162021313794,0.0,1,0,Amsterdam,4
99,2022-04-11T00:00:00Z,2022-04-12T00:00:00Z,0.0001314928085776046,0.0001314928085776046,0.0001314928085776046,0.0,1,0,Amsterdam,4
100,2022-04-12T00:00:00Z,2022-04-13T00:00:00Z,,,,,1,1,Amsterdam,4
101,2022-04-13T00:00:00Z,2022-04-14T00:00:00Z,0.0001524265535408631,0.0001524265535408631,0.0001524265535408631,0.0,1,0,Amsterdam,4
102,2022-04-14T00:00:00Z,2022-04-15T00:00:00Z,0.0001112430400098674,0.0001112430400098674,0.0001112430400098674,0.0,1,0,Amsterdam,4
103,2022-04-15T00:00:00Z,2022-04-16T00:00:00Z,,,,,1,1,Amsterdam,4
104,2022-04-16T00:00:00Z,2022-04-17T00:00:00Z,4.6801498683635145e-05,4.6801498683635145e-05,4.6801498683635145e-05,0.0,1,0,Amsterdam,4
105,2022-04-17T00:00:00Z,2022-04-18T00:00:00Z,9.041336306836456e-05,9.041336306836456e-05,9.041336306836456e-05,0.0,1,0,Amsterdam,4
106,2022-04-18T00:00:00Z,2022-04-19T00:00:00Z,8.838734356686473e-05,8.838734356686473e-05,8.838734356686473e-05,0.0,1,0,Amsterdam,4
107,2022-04-19T00:00:00Z,2022-04-20T00:00:00Z,6.929596565896645e-05,6.929596565896645e-05,6.929596565896645e-05,0.0,1,0,Amsterdam,4
108,2022-04-20T00:00:00Z,2022-04-21T00:00:00Z,6.427423795685172e-05,6.427423795685172e-05,6.427423795685172e-05,0.0,1,0,Amsterdam,4
109,2022-04-21T00:00:00Z,2022-04-22T00:00:00Z,5.830782902194187e-05,5.830782902194187e-05,5.830782902194187e-05,0.0,1,0,Amsterdam,4
110,2022-04-22T00:00:00Z,2022-04-23T00:00:00Z,5.000864257453941e-05,5.000864257453941e-05,5.000864257453941e-05,0.0,1,0,Amsterdam,4
111,2022-04-23T00:00:00Z,2022-04-24T00:00:00Z,,,,,1,1,Amsterdam,4
112,2022-04-24T00:00:00Z,2022-04-25T00:00:00Z,4.175017966190353e-05,4.175017966190353e-05,4.175017966190353e-05,0.0,1,0,Amsterdam,4
113,2022-04-25T00:00:00Z,2022-04-26T00:00:00Z,,,,,1,1,Amsterdam,4
114,2022-04-26T00:00:00Z,2022-04-27T00:00:00Z,,,,,1,1,Amsterdam,4
115,2022-04-27T00:00:00Z,2022-04-28T00:00:00Z,,,,,1,1,Amsterdam,4
116,2022-04-28T00:00:00Z,2022-04-29T00:00:00Z,,,,,1,1,Amsterdam,4
117,2022-04-29T00:00:00Z,2022-04-30T00:00:00Z,,,,,1,1,Amsterdam,4
118,2022-04-30T00:00:00Z,2022-05-01T00:00:00Z,,,,,1,1,Amsterdam,4
119,2022-05-01T00:00:00Z,2022-05-02T00:00:00Z,0.00014060568355489522,0.00014060568355489522,0.00014060568355489522,0.0,1,0,Amsterdam,5
120,2022-05-02T00:00:00Z,2022-05-03T00:00:00Z,7.621014083269984e-05,7.621014083269984e-05,7.621014083269984e-05,0.0,1,0,Amsterdam,5
121,2022-05-03T00:00:00Z,2022-05-04T00:00:00Z,,,,,1,1,Amsterdam,5
122,2022-05-04T00:00:00Z,2022-05-05T00:00:00Z,,,,,1,1,Amsterdam,5
123,2022-05-05T00:00:00Z,2022-05-06T00:00:00Z,,,,,1,1,Amsterdam,5
124,2022-05-06T00:00:00Z,2022-05-07T00:00:00Z,8.483152487315238e-05,8.483152487315238e-05,8.483152487315238e-05,0.0,1,0,Amsterdam,5
125,2022-05-07T00:00:00Z,2022-05-08T00:00:00Z,,,,,1,1,Amsterdam,5
126,2022-05-08T00:00:00Z,2022-05-09T00:00:00Z,3.7376812542788684e-05,3.7376812542788684e-05,3.7376812542788684e-05,0.0,1,0,Amsterdam,5
127,2022-05-09T00:00:00Z,2022-05-10T00:00:00Z,0.0001420867774868384,0.0001420867774868384,0.0001420867774868384,0.0,1,0,Amsterdam,5
128,2022-05-10T00:00:00Z,2022-05-11T00:00:00Z,,,,,1,1,Amsterdam,5
129,2022-05-11T00:00:00Z,2022-05-12T00:00:00Z,6.279847002588212e-05,6.279847002588212e-05,6.279847002588212e-05,0.0,1,0,Amsterdam,5
130,2022-05-12T00:00:00Z,2022-05-13T00:00:00Z,6.640769424848258e-05,6.640769424848258e-05,6.640769424848258e-05,0.0,1,0,Amsterdam,5
131,2022-05-13T00:00:00Z,2022-05-14T00:00:00Z,7.065986574161798e-05,7.065986574161798e-05,7.065986574161798e-05,0.0,1,0,Amsterdam,5
132,2022-05-14T00:00:00Z,2022-05-15T00:00:00Z,0.00011887492291862145,0.00011887492291862145,0.00011887492291862145,0.0,1,0,Amsterdam,5
133,2022-05-15T00:00:00Z,2022-05-16T00:00:00Z,7.362789619946852e-05,7.362789619946852e-05,7.362789619946852e-05,0.0,1,0,Amsterdam,5
134,2022-05-16T00:00:00Z,2022-05-17T00:00:00Z,,,,,1,1,Amsterdam,5
135,2022-05-17T00:00:00Z,2022-05-18T00:00:00Z,,,,,1,1,Amsterdam,5
136,2022-05-18T00:00:00Z,2022-05-19T00:00:00Z,0.00017298932652920485,0.00017298932652920485,0.00017298932652920485,0.0,1,0,Amsterdam,5
137,2022-05-19T00:00:00Z,2022-05-20T00:00:00Z,,,,,1,1,Amsterdam,5
138,2022-05-20T00:00:00Z,2022-05-21T00:00:00Z,,,,,1,1,Amsterdam,5
